text,is_quote_status,has_card,1_day_after,is_in_reply_to,is_urls,year,month,day_of_week
"['get', 'aapl', 'news', 'check', 'unusu', 'whale', 'see', 'option', 'chain', 'stock', 'info', 'much', 'onsit', 'app', 'see', 'httpstcozqupdakiir']",0,0,0,1,1,2024,7,3
"['appl', 'aapl', 'vision', 'pro', 'us', 'sale', 'dead', 'per', 'gizmodo', 'anyon', 'us', 'want', '3500', 'vision', 'pro', 'may', 'alreadi', 'one', 'report']",0,0,0,0,0,2024,7,3
"['today', 'trade', 'amd', '77', 'shop', '63', 'nvda', '581', 'smh', '521', 'meta', '403', 'tsla', '33', 'amzn', '299', 'aapl', '264', 'msft', '193', 'googl', '18', 'pltr', '122', 'spi', '116', 'gme', 'gamestop', '1', 'httpstcobciitpa89c']",0,0,0,0,0,2024,7,2
"['appl', 'aapl', 'india', 'sale', 'jump', '33', 'near', '8', 'billion', 'last', 'year', 'per', 'bloomberg']",0,0,0,0,0,2024,7,0
"['want', 'learn', 'unusu', 'whale', 'use', 'tool', 'live', 'twitch', 'right', 'break', 'gme', 'chwi', 'amc', 'spi', 'aapl', 'tsla', 'learn', 'free', 'right', 'httpstco5xxofcqcgu']",0,0,0,0,1,2024,7,2
"['everi', 'stock', 'hit', 'new', '52', 'week', 'high', 'today', 'includ', 'aapl', 'googl', 'spi', 'qqq', 'lli', 'amat', 'link', 'screener', 'find', 'stock', 'httpstcotqyvmexnkn', 'httpstcoak2mgn2711']",0,0,0,0,1,2024,7,2
"['appl', 'aapl', 'also', 'drop', 'role', 'board', 'regulatori', 'scrutini', 'link', 'httpstcozxllpdjzy3', 'microsoft', 'msft', 'quit', 'board', 'openai']",0,1,0,1,1,2024,7,2
"['aapl', 'appl', 'hit', 'time', 'high', 'morn', 'break', '230', 'level', 'httpstcohbpbxf3twr']",0,0,0,0,0,2024,7,2
"['get', 'aapl', 'news', 'check', 'unusu', 'whale', 'exampl', 'aapl', 'marketcap', '35', 'trillion', 'close', 'today', 'see', 'httpstconz42mmeayo']",0,0,0,1,1,2024,7,2
"['former', 'senat', 'jame', 'inhof', 'die', 'famou', 'sell', 'stock', 'receiv', 'classifi', 'info', 'covid', 'may', 'impact', 'economi', '2020', 'sold', 'million', 'stock', 'like', 'bam', 'c', 'dhr', 'intu', 'aapl', 'pypl', 'doj', 'investig', 'charg', 'drop', 'httpstcoephdmxprm6']",0,0,0,0,0,2024,7,2
"['appl', 'aapl', 'market', 'cap', 'close', '35', 'trillion', 'first', 'time', 'ever', 'httpstcodqner2xawm']",0,0,1,0,0,2024,7,1
"['appl', 'aapl', 'unfairli', 'sack', 'employe', 'london', 'headquart', 'took', 'secret', 'photo', 'femal', 'colleagu', 'share', 'staff', 'judg', 'rule', 'took', 'photo', 'without', 'knowledg', 'share', 'anoth', 'male', 'employe', 'crush']",0,0,1,0,0,2024,7,1
"['appl', 'aapl', 'valuabl', 'compani', 'world', 'httpstcolwavxk87cl']",0,0,1,0,0,2024,7,0
"['stock', 'hit', '52', 'week', 'high', 'aapl', 'googl', 'meta', 'httpstcodfktqpgzko']",0,0,1,0,0,2024,7,4
"['appl', 'aapl', 'reportedli', 'bring', 'chatgpt', 'googl', 'googl', 'gemini', 'appl', 'intellig', 'appl', 'reportedli', 'announc', 'partnership', 'googl', 'fall']",0,0,1,0,0,2024,7,4
"['appl', 'vision', 'pro', 'aapl', 'start', 'deliveri', 'higher', 'price', 'china', 'us', 'per', 'cnbc']",0,0,1,0,0,2024,6,5
"['look', 'repres', 'michael', 'mccaul', 'file', '12', 'million', 'worth', 'trade', 'bought', '12', 'million', 'appl', 'aapl', 'sell', '500000', 'well', 'fargo', 'wfc', 'amp', 'mani', 'buyssal', 'sit', 'numer', 'committe', 'includ', 'foreign', 'affair', 'homeland', 'secur', 'httpstcoht7wxmc8xo']",0,0,1,0,0,2024,6,1
"['appl', 'aapl', 'becom', 'first', 'us', 'tech', 'giant', 'charg', 'europ', 'new', 'antitrust', 'law', 'face', 'billion', 'fine', 'per', 'nyp']",0,0,1,0,0,2024,6,0
"['appl', 'aapl', 'reportedli', 'held', 'discuss', 'meta', 'meta', 'integr', 'facebook', 'parent', 'gener', 'ai', 'model', 'appl', 'intellig', 'per', 'wsj']",0,0,1,0,0,2024,6,0
"['object', 'never', 'first', 'object', 'best', 'appl', 'aapl', 'ceo', 'tim', 'cook', 'said', 'httpstcoy28nyovjpn']",0,0,0,0,0,2024,6,6
"['appl', 'aapl', 'open', 'first', 'store', 'malaysia', 'today', 'httpstcolx62m7rscb']",0,0,0,0,0,2024,6,5
"['appl', 'aapl', 'say', 'appl', 'intellig', 'featur', 'unlik', 'roll', 'user', 'base', 'european', 'union', 'year', 'due', 'regulatori', 'uncertainti', 'caus', 'digit', 'market', 'act']",0,0,0,0,0,2024,6,4
"['bernstein', 'rais', 'aapl', 'appl', 'price', 'target', '240', '195', 'link', 'httpstcolgocwc7qd']",0,0,0,0,1,2024,6,4
"['nvidia', 'nvda', 'surpass', 'microsoft', 'msft', 'appl', 'aapl', 'valuabl', 'compani', 'world']",0,0,0,0,0,2024,6,1
"['appl', 'aapl', 'suspend', 'work', 'next', 'highend', 'vision', 'headset', 'per', 'reuter']",0,0,0,0,0,2024,6,1
"['want', 'see', 'everyth', 'option', 'activ', 'short', 'sale', 'ftd', 'aapl', 'built', 'best', 'afford', 'softwar', 'follow', 'gex', 'spot', 'gamma', 'dex', 'vanna', 'charm', 'etc', 'set', 'alert', 'metric', 'chang', 'check', 'httpstcowrfuknagbo']",0,0,0,1,1,2024,6,1
"['appl', 'aapl', 'discontinu', 'appl', 'pay', 'later', 'servic', 'buy', 'pay', 'later', 'option', 'introduc', 'unit', 'state', 'last', 'year']",0,0,1,0,0,2024,6,0
"['watch', 'appl', 'aapl', 'ipad', 'solv', 'math', 'problem', 'real', 'time', 'httpstco5vmbfx96xj']",0,0,1,0,0,2024,6,6
"['appl', 'aapl', 'su', 'businessman', 'delet', 'messag', 'sent', 'sex', 'worker', 'found', 'wife', 'anoth', 'devic', 'per', 'telegraph']",0,0,1,0,0,2024,6,4
"['appl', 'aapl', 'face', 'propos', 'class', 'action', 'lawsuit', 'file', 'behalf', '12000', 'women', 'california', 'alleg', 'compani', 'paid', 'less', 'men', 'employ', 'fill', 'similar', 'role']",0,0,1,0,0,2024,6,4
"['see', 'appl', 'aapl', 'news', 'check', 'unusu', 'whale', 'see', 'stock', '286', 'today', 'see', 'httpstcozqupdakiir']",0,0,0,1,1,2024,6,3
"['appl', 'aapl', 'close', '200', 'first', 'time', '207', '72', 'today', 'httpstcogfwhvlwn8d']",0,0,1,0,0,2024,6,1
"['close', 'aapl', 'gme', 'httpstcof4ey8arqum', 'httpstcolhpdjpwr5v']",0,0,1,0,1,2024,6,1
"['aapl', 'appl', 'hit', 'new', 'time', 'high', 'morn', 'wwdc', 'yesterday', '4', 'httpstco2ines9ju55']",0,0,1,0,0,2024,6,1
"['elon', 'musk', 'said', 'appl', 'aapl', 'ai', 'patent', 'absurd', 'appl', 'isnt', 'smart', 'enough', 'make', 'ai', 'yet', 'somehow', 'capabl', 'ensur', 'openai', 'protect', 'secur', 'amp', 'privaci', 'appl', 'clue', 'what', 'actual', 'go', 'hand', 'data']",0,0,1,0,0,2024,6,0
"['break', 'elon', 'musk', 'said', 'may', 'ban', 'appl', 'devic', 'appl', 'aapl', 'integr', 'openai', 'os', 'level', 'appl', 'devic', 'ban', 'compani', 'unaccept', 'secur', 'violat', 'httpstcorpmrkonqew']",0,0,1,0,0,2024,6,0
"['close', 'aapl', 'httpstcof4ey8aryju', 'httpstcoruftgimrhi']",0,0,1,0,1,2024,6,0
"['break', 'appl', 'aapl', 'announc', 'deal', 'openai', 'chatgpt', 'directli', 'integr', 'iphon', 'siri', 'per', 'tc']",0,0,1,0,0,2024,6,0
"['appl', 'aapl', '223', 'wwdc', '2024', 'event', 'httpstco2efpwdmzri']",0,0,1,0,0,2024,6,0
"['appl', 'aapl', 'announc', 'appl', 'intellig', 'enabl', 'iphon', 'ipad', 'mac', 'understand', 'creat', 'languag', 'well', 'imag']",0,0,1,0,0,2024,6,0
"['appl', 'aapl', 'announc', 'bold', 'ital', 'underlin', 'strikethrough', 'imessag']",0,0,1,0,0,2024,6,0
"['appl', 'aapl', 'announc', 'calcul', 'app', 'ipad']",0,0,1,0,0,2024,6,0
"['appl', 'aapl', 'wwdc', 'event', 'start', 'get', 'updat', 'httpstconz42mmeayo']",0,0,1,0,1,2024,6,0
"['nvidia', 'nvda', 'appl', 'aapl', 'close', '3', 'trillion', 'market', 'cap', 'week', 'think', 'remain', 'second', 'valuabl', 'us', 'compani', 'httpstcosw3dfa9tbv']",0,0,0,0,0,2024,6,5
"['break', 'nvidia', 'nvda', 'overtak', 'appl', 'aapl', 'market', 'valu']",0,0,0,0,0,2024,6,2
"['break', 'nvidia', 'nvda', 'pass', 'appl', 'aapl', 'becom', '2nd', 'largest', 'hold', 'sampp', '500', 'per', 'charli', 'bilello']",0,0,1,0,0,2024,6,1
"['hedg', 'fund', 'thought', 'appl', 'could', 'go', 'bankrupt', '32', 'year', 'httpstcov3qrzzn2na', 'aapl', 'noster', 'capit', 'fund', 'q1', '2024', 'report', 'hedgefund', 'alpha']",0,1,1,0,1,2024,6,1
"['appl', 'aapl', 'could', 'owe', '349', 'iphon', '7', 'settlement', 'consum', 'own', 'iphon', '7', 'sept', '16', '2016', 'jan', '3', '2023', 'regist', 'complaint', 'appl', 'problem', 'phone', 'audio', 'qualiti', 'deadlin', 'submit', 'monday', 'june', '3', 'per', 'mw']",0,0,1,0,0,2024,6,0
"['warren', 'buffet', 'updat', 'portfolio', 'appl', 'aapl', '4081', 'bank', 'america', 'bac', '1181', 'american', 'express', 'axp', '1041', 'cocacola', 'ko', '738', 'chevron', 'cvx', '585', 'occident', 'petroleum', 'oxi', '486', 'kraft', 'heinz', 'khc', '362', 'moodi', 'mco', '292', 'chubb', 'cb', '203', 'davita', 'dva', '15']",0,0,1,0,0,2024,6,5
"['appl', 'aapl', 'plan', 'overhaul', 'siri', 'advanc', 'ai', 'let', 'user', 'precis', 'control', 'app', 'featur', 'voic', 'per', 'bloomberg']",0,0,1,0,0,2024,5,3
"['china', 'aapl', 'iphon', 'shipment', 'jump', '52', 'april', 'per', 'bloomberg']",0,0,0,0,0,2024,5,1
"['nvidia', 'nvda', 'appl', 'aapl', 'rival', 'gold', 'inflat', 'hedg', 'per', 'recent', 'bloomberg', 'survey', 'httpstcogykmwwot7n']",0,0,0,0,0,2024,5,1
"['share', 'repurchas', 'first', 'quarter', 'sharpli', 'led', 'meta', 'aapl', 'per', 'wsj', 'corpor', 'bought', 'back', '1812', 'billion', 'share', '16', 'yearago', 'quarter']",0,0,1,0,0,2024,5,0
